"YearStart" "YearEnd" "LocationDesc" "Question" "DataValue"
"61634" 2014 2014 "Alaska" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "181"
"61756" 2014 2014 "Alabama" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "2955"
"61878" 2014 2014 "Arkansas" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "2034"
"61997" 2014 2014 "Arizona" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "3277"
"62117" 2014 2014 "California" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "12218"
"62238" 2014 2014 "Colorado" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "2390"
"62359" 2014 2014 "Connecticut" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "1320"
"62479" 2014 2014 "District of Columbia" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "127"
"62600" 2014 2014 "Delaware" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "442"
"62720" 2014 2014 "Florida" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "10868"
"62842" 2014 2014 "Georgia" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "4202"
"62963" 2014 2014 "Hawaii" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "282"
"63083" 2014 2014 "Iowa" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "1835"
"63204" 2014 2014 "Idaho" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "791"
"63326" 2014 2014 "Illinois" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "5419"
"63448" 2014 2014 "Indiana" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "3911"
"63571" 2014 2014 "Kansas" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "1632"
"63690" 2014 2014 "Kentucky" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "3133"
"63811" 2014 2014 "Louisiana" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "2157"
"63932" 2014 2014 "Massachusetts" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "2494"
"64055" 2014 2014 "Maryland" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "1804"
"64174" 2014 2014 "Maine" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "871"
"64295" 2014 2014 "Michigan" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "5205"
"64416" 2014 2014 "Minnesota" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "2179"
"64536" 2014 2014 "Missouri" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "3638"
"64656" 2014 2014 "Mississippi" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "1674"
"64776" 2014 2014 "Montana" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "657"
"64898" 2014 2014 "North Carolina" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "4858"
"65018" 2014 2014 "North Dakota" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "306"
"65138" 2014 2014 "Nebraska" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "1086"
"65257" 2014 2014 "New Hampshire" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "657"
"65377" 2014 2014 "New Jersey" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "2898"
"65497" 2014 2014 "New Mexico" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "1088"
"65617" 2014 2014 "Nevada" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "1487"
"65737" 2014 2014 "New York" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "6441"
"65858" 2014 2014 "Ohio" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "6603"
"65979" 2014 2014 "Oklahoma" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "2692"
"66100" 2014 2014 "Oregon" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "1857"
"66221" 2014 2014 "Pennsylvania" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "6202"
"66340" 2014 2014 "Rhode Island" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "492"
"66460" 2014 2014 "South Carolina" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "2608"
"66581" 2014 2014 "South Dakota" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "430"
"66699" 2014 2014 "Tennessee" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "3852"
"66820" 2014 2014 "Texas" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "9370"
"66942" 2014 2014 "United States" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "141936"
"66957" 2014 2014 "Utah" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "719"
"67078" 2014 2014 "Virginia" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "2961"
"67198" 2014 2014 "Vermont" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "314"
"67320" 2014 2014 "Washington" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "2783"
"67440" 2014 2014 "Wisconsin" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "2657"
"67561" 2014 2014 "West Virginia" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "1543"
"67681" 2014 2014 "Wyoming" "Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >=45 years" "336"
