"","states","year","statesAbbr","disease","datatype","deathpop","class","population","ratio"
"1","Alabama",2010,"AL","Heart failure","Nmbr",3099,"Female",2435072.72968,0.127265192625571
"2","Alabama",2010,"AL","Chronic obstructive pulmonary disease","Nmbr",2253,"Female",2435072.72968,0.0925229038352408
"3","Alabama",2010,"AL","Coronary heart disease","Nmbr",2500,"Female",2435072.72968,0.10266633803289
"4","Alabama",2010,"AL","Cerebrovascular disease","Nmbr",1550,"Female",2435072.72968,0.063653129580392
"5","Alabama",2010,"AL","Cardiovascular disease","Nmbr",8115,"Female",2435072.72968,0.333254933254762
"6","Alaska",2010,"AK","Heart failure","Nmbr",137,"Female",363351.00648,0.03770458800354
"7","Alaska",2010,"AK","Chronic obstructive pulmonary disease","Nmbr",183,"Female",363351.00648,0.0503645226616629
"8","Alaska",2010,"AK","Coronary heart disease","Nmbr",124,"Female",363351.00648,0.0341267803827661
"9","Alaska",2010,"AK","Cerebrovascular disease","Nmbr",89,"Female",363351.00648,0.0244942214037596
"10","Alaska",2010,"AK","Cardiovascular disease","Nmbr",390,"Female",363351.00648,0.107334228623216
"11","Arizona",2010,"AZ","Cerebrovascular disease","Nmbr",1250,"Female",3261008.88704,0.0383316955978804
"12","Arizona",2010,"AZ","Cardiovascular disease","Nmbr",6265,"Female",3261008.88704,0.192118458336577
"13","Arizona",2010,"AZ","Chronic obstructive pulmonary disease","Nmbr",2292,"Female",3261008.88704,0.0702849970482735
"14","Arizona",2010,"AZ","Heart failure","Nmbr",2096,"Female",3261008.88704,0.0642745871785258
"15","Arizona",2010,"AZ","Coronary heart disease","Nmbr",3016,"Female",3261008.88704,0.0924867151385658
"16","Arkansas",2010,"AR","Coronary heart disease","Nmbr",2097,"Female",1487147.85872,0.141008171292726
"17","Arkansas",2010,"AR","Cerebrovascular disease","Nmbr",1039,"Female",1487147.85872,0.0698652789571493
"18","Arkansas",2010,"AR","Chronic obstructive pulmonary disease","Nmbr",1381,"Female",1487147.85872,0.0928623197688384
"19","Arkansas",2010,"AR","Heart failure","Nmbr",2078,"Female",1487147.85872,0.139730557914299
"20","Arkansas",2010,"AR","Cardiovascular disease","Nmbr",4796,"Female",1487147.85872,0.322496513838776
"21","California",2010,"CA","Heart failure","Nmbr",15180,"Female",18998566.12152,0.0799007667363136
"22","California",2010,"CA","Cardiovascular disease","Nmbr",39737,"Female",18998566.12152,0.209157889841956
"23","California",2010,"CA","Chronic obstructive pulmonary disease","Nmbr",12502,"Female",18998566.12152,0.0658049661223579
"24","California",2010,"CA","Coronary heart disease","Nmbr",18050,"Female",18998566.12152,0.0950071699334954
