"YearStart" "YearEnd" "LocationDesc" "Question" "DataValue"
"94610" 2013 2013 "Alaska" "Mortality from heart failure" "328"
"98909" 2013 2013 "Arkansas" "Mortality from heart failure" "3903"
"112954" 2013 2013 "Alabama" "Mortality from heart failure" "5953"
"113180" 2013 2013 "Arizona" "Mortality from heart failure" "4657"
"113299" 2013 2013 "California" "Mortality from heart failure" "30249"
"113419" 2013 2013 "Colorado" "Mortality from heart failure" "4027"
"113535" 2013 2013 "Connecticut" "Mortality from heart failure" "3596"
"113659" 2013 2013 "District of Columbia" "Mortality from heart failure" "344"
"113775" 2013 2013 "Delaware" "Mortality from heart failure" "728"
"113891" 2013 2013 "Florida" "Mortality from heart failure" "15701"
"114009" 2013 2013 "Georgia" "Mortality from heart failure" "7915"
"114130" 2013 2013 "Hawaii" "Mortality from heart failure" "967"
"114247" 2013 2013 "Iowa" "Mortality from heart failure" "3668"
"114371" 2013 2013 "Idaho" "Mortality from heart failure" "1489"
"114486" 2013 2013 "Illinois" "Mortality from heart failure" "11964"
"114609" 2013 2013 "Indiana" "Mortality from heart failure" "8057"
"114733" 2013 2013 "Kansas" "Mortality from heart failure" "3119"
"114849" 2013 2013 "Kentucky" "Mortality from heart failure" "5121"
"114967" 2013 2013 "Louisiana" "Mortality from heart failure" "4409"
"115086" 2013 2013 "Massachusetts" "Mortality from heart failure" "6666"
"115206" 2013 2013 "Maryland" "Mortality from heart failure" "3586"
"115331" 2013 2013 "Maine" "Mortality from heart failure" "1685"
"115451" 2013 2013 "Michigan" "Mortality from heart failure" "11432"
"115566" 2013 2013 "Minnesota" "Mortality from heart failure" "5731"
"115689" 2013 2013 "Missouri" "Mortality from heart failure" "6689"
"115807" 2013 2013 "Mississippi" "Mortality from heart failure" "4529"
"115924" 2013 2013 "Montana" "Mortality from heart failure" "1116"
"116047" 2013 2013 "North Carolina" "Mortality from heart failure" "9167"
"116171" 2013 2013 "North Dakota" "Mortality from heart failure" "955"
"116285" 2013 2013 "Nebraska" "Mortality from heart failure" "2218"
"116404" 2013 2013 "New Hampshire" "Mortality from heart failure" "1395"
"116526" 2013 2013 "New Jersey" "Mortality from heart failure" "7912"
"116646" 2013 2013 "New Mexico" "Mortality from heart failure" "1628"
"116771" 2013 2013 "Nevada" "Mortality from heart failure" "1290"
"116891" 2013 2013 "New York" "Mortality from heart failure" "16335"
"117008" 2013 2013 "Ohio" "Mortality from heart failure" "13353"
"117126" 2013 2013 "Oklahoma" "Mortality from heart failure" "5351"
"117250" 2013 2013 "Oregon" "Mortality from heart failure" "5082"
"117365" 2013 2013 "Pennsylvania" "Mortality from heart failure" "15894"
"117485" 2013 2013 "Rhode Island" "Mortality from heart failure" "1288"
"117609" 2013 2013 "South Carolina" "Mortality from heart failure" "5279"
"117724" 2013 2013 "South Dakota" "Mortality from heart failure" "1028"
"117845" 2013 2013 "Tennessee" "Mortality from heart failure" "6774"
"117972" 2013 2013 "Texas" "Mortality from heart failure" "21718"
"118021" 2013 2013 "United States" "Mortality from heart failure" "300122"
"118099" 2013 2013 "Utah" "Mortality from heart failure" "2149"
"118220" 2013 2013 "Virginia" "Mortality from heart failure" "6434"
"118346" 2013 2013 "Vermont" "Mortality from heart failure" "654"
"118465" 2013 2013 "Washington" "Mortality from heart failure" "7130"
"118583" 2013 2013 "Wisconsin" "Mortality from heart failure" "6267"
"118709" 2013 2013 "West Virginia" "Mortality from heart failure" "2663"
"118830" 2013 2013 "Wyoming" "Mortality from heart failure" "529"
