"","states","year","disease","deathpop","class","population","ratio"
"1","Alabama",2010,"Mortality from total cardiovascular disease",15809,"Overall",4785161,0.00330375508786434
"2","Alabama",2010,"Mortality from total cardiovascular disease",8115,"Female",4785161,0.00169586770434683
"3","Alabama",2010,"Mortality from cerebrovascular disease (stroke)",1069,"Male",4785161,0.000223398961915806
"4","Alabama",2010,"Mortality from heart failure",5764,"Overall",4785161,0.00120455717163957
"5","Alabama",2010,"Mortality from diseases of the heart",12083,"Overall",4785161,0.0025250979016171
"6","Alabama",2010,"Mortality from diseases of the heart",5950,"Female",4785161,0.00124342733713662
"7","Alabama",2010,"Mortality from cerebrovascular disease (stroke)",2619,"Overall",4785161,0.000547317007724505
"8","Alabama",2010,"Mortality from coronary heart disease",2500,"Female",4785161,0.000522448460981773
"9","Alabama",2010,"Mortality from cerebrovascular disease (stroke)",1550,"Female",4785161,0.000323918045808699
"10","Alabama",2010,"Mortality from total cardiovascular disease",7694,"Male",4785161,0.0016078873835175
"11","Alabama",2010,"Mortality from heart failure",3099,"Female",4785161,0.000647627112233005
"12","Alabama",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",4751,"Overall",4785161,0.000992861055249761
"13","Alabama",2010,"Mortality from diseases of the heart",6133,"Male",4785161,0.00128167056448048
"14","Alabama",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",2253,"Female",4785161,0.000470830553036773
"15","Alabama",2010,"Mortality from heart failure",2665,"Male",4785161,0.00055693005940657
"16","Alabama",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",2498,"Male",4785161,0.000522030502212987
"17","Alabama",2010,"Mortality from coronary heart disease",3057,"Male",4785161,0.000638849978088512
"18","Alabama",2010,"Mortality from coronary heart disease",5557,"Overall",4785161,0.00116129843907028
"19","Alaska",2010,"Mortality from total cardiovascular disease",390,"Female",714021,0.000546202422617822
"20","Alaska",2010,"Mortality from total cardiovascular disease",555,"Male",714021,0.000777288062956132
"21","Alaska",2010,"Mortality from heart failure",293,"Overall",714021,0.000410352076479543
"22","Alaska",2010,"Mortality from cerebrovascular disease (stroke)",78,"Male",714021,0.000109240484523564
"23","Alaska",2010,"Mortality from diseases of the heart",266,"Female",714021,0.000372538062606002
"24","Alaska",2010,"Mortality from cerebrovascular disease (stroke)",89,"Female",714021,0.000124646193879452
"25","Alaska",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",189,"Male",714021,0.000264698097114791
"26","Alaska",2010,"Mortality from heart failure",137,"Female",714021,0.000191871107432414
