"YearStart" "YearEnd" "LocationDesc" "Question" "DataValue"
"28157" 2012 2012 "Alaska" "Current asthma prevalence among adults aged >= 18 years" "9"
"28191" 2012 2012 "Alabama" "Current asthma prevalence among adults aged >= 18 years" "8.6"
"28222" 2012 2012 "Arkansas" "Current asthma prevalence among adults aged >= 18 years" "8.8"
"28255" 2012 2012 "Arizona" "Current asthma prevalence among adults aged >= 18 years" "8.6"
"28286" 2012 2012 "California" "Current asthma prevalence among adults aged >= 18 years" "8.8"
"28319" 2012 2012 "Colorado" "Current asthma prevalence among adults aged >= 18 years" "8.9"
"28353" 2012 2012 "Connecticut" "Current asthma prevalence among adults aged >= 18 years" "9.9"
"28387" 2012 2012 "District of Columbia" "Current asthma prevalence among adults aged >= 18 years" "10.3"
"28419" 2012 2012 "Delaware" "Current asthma prevalence among adults aged >= 18 years" "9.9"
"28450" 2012 2012 "Florida" "Current asthma prevalence among adults aged >= 18 years" "8.2"
"28484" 2012 2012 "Georgia" "Current asthma prevalence among adults aged >= 18 years" "8.2"
"28514" 2012 2012 "Guam" "Current asthma prevalence among adults aged >= 18 years" "5.8"
"28547" 2012 2012 "Hawaii" "Current asthma prevalence among adults aged >= 18 years" "8.9"
"28579" 2012 2012 "Iowa" "Current asthma prevalence among adults aged >= 18 years" "8.1"
"28612" 2012 2012 "Idaho" "Current asthma prevalence among adults aged >= 18 years" "8.5"
"28644" 2012 2012 "Illinois" "Current asthma prevalence among adults aged >= 18 years" "8.5"
"28678" 2012 2012 "Indiana" "Current asthma prevalence among adults aged >= 18 years" "9.1"
"28711" 2012 2012 "Kansas" "Current asthma prevalence among adults aged >= 18 years" "8.4"
"28744" 2012 2012 "Kentucky" "Current asthma prevalence among adults aged >= 18 years" "11.1"
"28776" 2012 2012 "Louisiana" "Current asthma prevalence among adults aged >= 18 years" "7.4"
"28809" 2012 2012 "Massachusetts" "Current asthma prevalence among adults aged >= 18 years" "10.8"
"28841" 2012 2012 "Maryland" "Current asthma prevalence among adults aged >= 18 years" "9"
"28874" 2012 2012 "Maine" "Current asthma prevalence among adults aged >= 18 years" "11.1"
"28907" 2012 2012 "Michigan" "Current asthma prevalence among adults aged >= 18 years" "10.5"
"28939" 2012 2012 "Minnesota" "Current asthma prevalence among adults aged >= 18 years" "8"
"28972" 2012 2012 "Missouri" "Current asthma prevalence among adults aged >= 18 years" "10.4"
"29006" 2012 2012 "Mississippi" "Current asthma prevalence among adults aged >= 18 years" "8.1"
"29038" 2012 2012 "Montana" "Current asthma prevalence among adults aged >= 18 years" "9.5"
"29071" 2012 2012 "North Carolina" "Current asthma prevalence among adults aged >= 18 years" "7.7"
"29104" 2012 2012 "North Dakota" "Current asthma prevalence among adults aged >= 18 years" "7.6"
"29137" 2012 2012 "Nebraska" "Current asthma prevalence among adults aged >= 18 years" "7.4"
"29171" 2012 2012 "New Hampshire" "Current asthma prevalence among adults aged >= 18 years" "10.2"
"29204" 2012 2012 "New Jersey" "Current asthma prevalence among adults aged >= 18 years" "8.7"
"29237" 2012 2012 "New Mexico" "Current asthma prevalence among adults aged >= 18 years" "9.2"
"29270" 2012 2012 "Nevada" "Current asthma prevalence among adults aged >= 18 years" "7.4"
"29303" 2012 2012 "New York" "Current asthma prevalence among adults aged >= 18 years" "9.3"
"29336" 2012 2012 "Ohio" "Current asthma prevalence among adults aged >= 18 years" "10.5"
"29369" 2012 2012 "Oklahoma" "Current asthma prevalence among adults aged >= 18 years" "10.2"
"29402" 2012 2012 "Oregon" "Current asthma prevalence among adults aged >= 18 years" "10.6"
"29435" 2012 2012 "Pennsylvania" "Current asthma prevalence among adults aged >= 18 years" "10.1"
"29468" 2012 2012 "Puerto Rico" "Current asthma prevalence among adults aged >= 18 years" "8.9"
"29501" 2012 2012 "Rhode Island" "Current asthma prevalence among adults aged >= 18 years" "10.8"
"29534" 2012 2012 "South Carolina" "Current asthma prevalence among adults aged >= 18 years" "8.7"
"29567" 2012 2012 "South Dakota" "Current asthma prevalence among adults aged >= 18 years" "7.5"
"29600" 2012 2012 "Tennessee" "Current asthma prevalence among adults aged >= 18 years" "7.7"
"29633" 2012 2012 "Texas" "Current asthma prevalence among adults aged >= 18 years" "6.8"
"29646" 2012 2012 "United States" "Current asthma prevalence among adults aged >= 18 years" "8.9"
"29678" 2012 2012 "Utah" "Current asthma prevalence among adults aged >= 18 years" "8.9"
"29710" 2012 2012 "Virginia" "Current asthma prevalence among adults aged >= 18 years" "8.7"
"29776" 2012 2012 "Vermont" "Current asthma prevalence among adults aged >= 18 years" "10.9"
"29809" 2012 2012 "Washington" "Current asthma prevalence among adults aged >= 18 years" "9.7"
"29841" 2012 2012 "Wisconsin" "Current asthma prevalence among adults aged >= 18 years" "8.6"
"29874" 2012 2012 "West Virginia" "Current asthma prevalence among adults aged >= 18 years" "10.2"
"29907" 2012 2012 "Wyoming" "Current asthma prevalence among adults aged >= 18 years" "9"
