Year,LocationAbbr,LocationDesc,DataSource,TopicType,TopicDesc,MeasureDesc,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Gender,GeoLocation,TopicTypeID,TopicID,MeasureID,SubMeasureID,DisplayOrder
2005-2009,AL,Alabama,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,25830,,,Overall,"AL
(32.84057112200048, -86.63186076199969)",HLT,500HLT,500SAM,1GEN,01
2005-2009,AK,Alaska,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,1585,,,Overall,"AK
(64.84507995700051, -147.72205903599973)",HLT,500HLT,500SAM,1GEN,01
2005-2009,AZ,Arizona,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,23342,,,Overall,"AZ
(34.865970280000454, -111.76381127699972)",HLT,500HLT,500SAM,1GEN,01
2005-2009,AR,Arkansas,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,16344,,,Overall,"AR
(34.74865012400045, -92.27449074299966)",HLT,500HLT,500SAM,1GEN,01
2005-2009,CA,California,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,132974,,,Overall,"CA
(37.63864012300047, -120.99999953799971)",HLT,500HLT,500SAM,1GEN,01
2005-2009,CO,Colorado,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,14958,,,Overall,"CO
(38.843840757000464, -106.13361092099967)",HLT,500HLT,500SAM,1GEN,01
2005-2009,CT,Connecticut,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,15804,,,Overall,"CT
(41.56266102000046, -72.64984095199964)",HLT,500HLT,500SAM,1GEN,01
2005-2009,DE,Delaware,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,4082,,,Overall,"DE
(39.008830667000495, -75.57774116799965)",HLT,500HLT,500SAM,1GEN,01
2005-2009,DC,District of Columbia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,2536,,,Overall,"DC
(38.89037138500049, -77.03196112699965)",HLT,500HLT,500SAM,1GEN,01
2005-2009,FL,Florida,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,92978,,,Overall,"FL
(28.932040377000476, -81.92896053899966)",HLT,500HLT,500SAM,1GEN,01
2005-2009,GA,Georgia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,34530,,,Overall,"GA
(32.83968109300048, -83.62758034599966)",HLT,500HLT,500SAM,1GEN,01
2005-2009,HI,Hawaii,SAMMEC,Health Consequences and Costs,Smoking-Attributable Mortality (SAM),Average Annual Deaths,,,5118,,,Overall,"HI
(21.304850435000446, -157.85774940299973)",HLT,500HLT,500SAM,1GEN,01
